# timestamp_grid lon_SD_grid lat_SD_grid taux_c_SD_grid tauy_c_SD_grid ucur_SD_grid[:,iz] vcur_SD_grid[:,iz] ucur_SD_grid_bp[:,iz] vcur_SD_grid_bp[:,iz] tau_dot_sfcvel_SD energy_input_SD
1.694010000000000000e+09 -6.591122559999999453e+01 1.989702079999999995e+01 -2.225580156992568517e-02 2.530082454278195433e-02 -1.690000000000000568e+01 3.400000000000003020e+00 -5.180081648770364033e+00 -4.448510192650005912e+00 4.621458499772029480e-03 2.093150538890447478e+02
1.694010600000000000e+09 -6.591011199999999803e+01 1.989847839999999835e+01 -2.547021947843365955e-02 3.331025594439535747e-02 -1.705000000000001137e+01 4.249999999999998224e+00 -5.308778381928862089e+00 -4.414414188771392134e+00 5.758358298709744319e-03 2.124289989285892943e+02
1.694011200000000000e+09 -6.590922240000000443e+01 1.989992799999999917e+01 -2.797171966869366200e-02 2.164302583863962626e-02 -1.720000000000001705e+01 5.099999999999993427e+00 -5.432501568645970558e+00 -4.375692108022274596e+00 5.914930100785934820e-03 2.159309854484380082e+02
1.694011800000000000e+09 -6.590841600000000255e+01 1.990126079999999931e+01 -2.175134773138956770e-02 1.486223772306721237e-02 -1.570000000000000284e+01 4.849999999999998757e+00 -5.551131514465458494e+00 -4.332354231979404169e+00 4.135780123396922379e-03 2.189461985156928563e+02
1.694012400000000000e+09 -6.590782079999999610e+01 1.990249280000000098e+01 -2.165144564718190709e-02 2.065161774309229661e-02 -1.419999999999999041e+01 4.600000000000004086e+00 -5.664553280164482452e+00 -4.284416013450616845e+00 4.024479698082074862e-03 2.213942764621365313e+02
1.694013000000000000e+09 -6.590666240000000187e+01 1.990381440000000168e+01 -1.501500734871233714e-02 2.806807730400846454e-02 -1.414999999999999503e+01 4.600000000000004086e+00 -5.772656756209131323e+00 -4.231898093173660946e+00 3.415755095827185516e-03 2.236263469003093007e+02
1.694013600000000000e+09 -6.590501759999999365e+01 1.990529280000000156e+01 -1.417706173353519387e-02 2.303427624592288558e-02 -1.410000000000000142e+01 4.600000000000004086e+00 -5.875336732098003445e+00 -4.174826316759745914e+00 3.058542411740916567e-03 2.255686361525797281e+02
1.694014200000000000e+09 -6.590399999999999636e+01 1.990659360000000078e+01 -1.558955091861692795e-02 2.320539322534441798e-02 -1.519999999999999218e+01 3.000000000000002665e+00 -5.972492977629139332e+00 -4.113231747651366454e+00 3.065773536390105011e-03 2.274059309370190363e+02
1.694014800000000000e+09 -6.590311040000000276e+01 1.990766560000000140e+01 -1.394022910832133991e-02 2.252767295243448056e-02 -1.629999999999998295e+01 1.400000000000001243e+00 -6.064030340235258443e+00 -4.047150683933710802e+00 2.587644765990459051e-03 2.291019564277331995e+02
1.694015400000000000e+09 -6.590238080000000309e+01 1.990877280000000127e+01 -1.116423498273296823e-02 1.760609824843937729e-02 -1.699999999999999289e+01 3.749999999999997780e+00 -6.149858853679658566e+00 -3.976624678882398012e+00 2.558148631381079903e-03 2.306456944469446739e+02
1.694016000000000000e+09 -6.590201600000000326e+01 1.990980640000000079e+01 -1.104773792628164011e-02 1.423522014487591664e-02 -1.770000000000000284e+01 6.099999999999994316e+00 -6.229893848627204633e+00 -3.901700537180597284e+00 2.823798041789280563e-03 2.322602784488957752e+02
1.694016600000000000e+09 -6.590192639999999358e+01 1.991105440000000115e+01 -1.849124496260074260e-02 2.331903667066580893e-02 -1.950000000000000711e+01 6.299999999999994493e+00 -6.304056058976535759e+00 -3.822430266837321788e+00 5.074892077959090690e-03 2.346298854848202780e+02
1.694017200000000000e+09 -6.590142720000000054e+01 1.991238399999999942e+01 -1.840660423967855133e-02 1.977455085383506700e-02 -2.130000000000000782e+01 6.499999999999994671e+00 -6.372271729347015246e+00 -3.738871010952236507e+00 5.205952508550811507e-03 2.377141388607732608e+02
1.694017800000000000e+09 -6.590095359999999403e+01 1.991369279999999975e+01 -1.558033572915877400e-02 2.573591586531530709e-02 -2.245000000000001705e+01 5.099999999999993427e+00 -6.434472728715475043e+00 -3.651084992968374632e+00 4.810317080327226359e-03 2.407190197374366676e+02
1.694018400000000000e+09 -6.590010879999999815e+01 1.991479359999999943e+01 -8.114444306509085644e-03 1.935175049206261724e-02 -2.360000000000002274e+01 3.699999999999992184e+00 -6.490596662895192104e+00 -3.559139483893239309e+00 2.631023624542461279e-03 2.429514219488975755e+02
1.694019000000000000e+09 -6.589971199999999385e+01 1.991579679999999897e+01 -1.361623593874655355e-02 2.162626258866502671e-02 -2.565000000000001990e+01 2.199999999999990852e+00 -6.540586978631339754e+00 -3.463106785523890618e+00 3.968342295239122783e-03 2.449312317248320596e+02
1.694019600000000000e+09 -6.589932159999999328e+01 1.991680799999999962e+01 -1.434373375557715553e-02 1.845980700908458894e-02 -2.770000000000001350e+01 6.999999999999895195e-01 -6.584393064553031749e+00 -3.363064220042846664e+00 4.102432899358464911e-03 2.473524642832113329e+02
1.694020200000000000e+09 -6.589909760000000460e+01 1.991779999999999973e+01 -1.245598926127555045e-02 1.777908322926223875e-02 -2.995000000000000995e+01 7.999999999999896083e-01 -6.621970356197315333e+00 -3.259094114137557341e+00 3.872801449586124774e-03 2.497450345878947076e+02
1.694020800000000000e+09 -6.589921280000000081e+01 1.991897279999999881e+01 -1.700788113546720590e-02 1.782157901343045872e-02 -3.220000000000000284e+01 8.999999999999896971e-01 -6.653280443796963262e+00 -3.151283765045997054e+00 5.636931936741312529e-03 2.525979546037929424e+02
1.694021400000000000e+09 -6.589900799999999492e+01 1.992015680000000089e+01 -9.697749404237249876e-03 2.051565839181045126e-02 -3.269999999999999574e+01 2.649999999999996803e+00 -6.678291174891432647e+00 -3.039725378722544225e+00 3.714829002568556700e-03 2.554034828855859018e+02
1.694022000000000000e+09 -6.589898239999999419e+01 1.992143360000000030e+01 -1.267898339180933108e-02 1.725107112801380765e-02 -3.319999999999998863e+01 4.400000000000003908e+00 -6.696976739106652587e+00 -2.924515976640181147e+00 4.968469615713304657e-03 2.580084724710704904e+02
1.694022600000000000e+09 -6.589880320000000324e+01 1.992297920000000033e+01 -1.835637050093009287e-02 2.533617926829569850e-02 -3.125000000000000000e+01 4.949999999999999289e+00 -6.709317722503246983e+00 -2.805757276439324155e+00 6.990506655321290785e-03 2.615961653523808650e+02
1.694023200000000000e+09 -6.589856000000000336e+01 1.992450080000000057e+01 -1.488846004755731145e-02 2.291171652275753381e-02 -2.930000000000001492e+01 5.499999999999993783e+00 -6.715301123714234599e+00 -2.683555562664156291e+00 5.622463202685957714e-03 2.653800563097830150e+02
1.694023800000000000e+09 -6.589846400000000415e+01 1.992602079999999987e+01 -1.787216975324937285e-02 2.249355162049003834e-02 -2.784999999999999432e+01 6.099999999999994316e+00 -6.714920333473693326e+00 -2.558021561587454862e+00 6.349505925129840869e-03 2.689716470481277497e+02
1.694024400000000000e+09 -6.589815679999999531e+01 1.992736800000000130e+01 -1.946562630717676642e-02 3.015130228699058543e-02 -2.639999999999997726e+01 6.699999999999994849e+00 -6.708175093038448722e+00 -2.429270318623931058e+00 7.159062598323029034e-03 2.730242176051635852e+02
1.694025000000000000e+09 -6.589753600000000233e+01 1.992889279999999985e+01 -1.879368226921342838e-02 2.704653416206732192e-02 -2.939999999999998082e+01 8.250000000000001776e+00 -6.695071455842537489e+00 -2.297421069731347743e+00 7.756681655519299078e-03 2.774989408813162868e+02
1.694025600000000000e+09 -6.589694079999999587e+01 1.993049440000000061e+01 -2.258858019443708148e-02 3.283614546571202164e-02 -3.239999999999998437e+01 9.800000000000007816e+00 -6.675621780462417831e+00 -2.162597099527713951e+00 1.053664223863739167e-02 2.829869380495633209e+02
1.694026200000000000e+09 -6.589658239999999978e+01 1.993223360000000000e+01 -1.912152874471367836e-02 2.281738277859220870e-02 -3.154999999999999005e+01 9.100000000000008527e+00 -6.649844761600458121e+00 -2.024925587285824946e+00 8.109224151809056591e-03 2.885806979666972438e+02
1.694026800000000000e+09 -6.589635199999999315e+01 1.993387359999999831e+01 -1.838583398479776490e-02 2.120279240525261427e-02 -3.069999999999999574e+01 8.400000000000007461e+00 -6.617765459403999628e+00 -1.884537457468265620e+00 7.425485595374134440e-03 2.932411108908522124e+02
1.694027400000000000e+09 -6.589603839999999479e+01 1.993530720000000045e+01 -2.116116255165506957e-02 2.599567893216540512e-02 -3.029999999999999361e+01 7.950000000000001066e+00 -6.579415288083752422e+00 -1.741567248414432223e+00 8.478488728258634990e-03 2.980123031879420523e+02
1.694028000000000000e+09 -6.589562239999999349e+01 1.993682880000000068e+01 -2.029119976388016333e-02 2.733953056816440866e-02 -2.989999999999999147e+01 7.499999999999995559e+00 -6.534831972475675599e+00 -1.596152991198869220e+00 8.117533522012497157e-03 3.029911098630233823e+02
1.694028600000000000e+09 -6.589525759999999366e+01 1.993825440000000171e+01 -1.874431438905562256e-02 2.623315658335604456e-02 -3.049999999999999289e+01 7.050000000000000711e+00 -6.484059497995930954e+00 -1.448436085059849443e+00 7.566453427788565750e-03 3.076963059479637081e+02
1.694029200000000000e+09 -6.589511679999999672e+01 1.993973120000000065e+01 -1.611082472715458583e-02 2.632191082183002462e-02 -3.109999999999999432e+01 6.600000000000005862e+00 -6.427148065298944779e+00 -1.298561166171989134e+00 6.747712604385858529e-03 3.119905557576160504e+02
1.694029800000000000e+09 -6.589505280000000198e+01 1.994128800000000012e+01 -2.202542446252948871e-02 2.372196941170359036e-02 -3.169999999999999574e+01 8.100000000000006750e+00 -6.364154050911762894e+00 -1.146675967588799194e+00 8.903539076969838734e-03 3.166859312620227342e+02
1.694030400000000000e+09 -6.589483520000000283e+01 1.994310079999999985e+01 -1.250679860054374273e-02 2.231467648452646960e-02 -3.229999999999999716e+01 9.600000000000008527e+00 -6.295139969225444609e+00 -9.929311599060529625e-01 6.181904890490171403e-03 3.212115644522607454e+02
1.694031000000000000e+09 -6.589459840000000668e+01 1.994511999999999929e+01 -1.920115545265786705e-02 2.723214826155322468e-02 -3.209999999999999432e+01 1.129999999999999893e+01 -6.220174428651962018e+00 -8.374801650942812481e-01 9.240803653858688238e-03 3.258383770155654133e+02
1.694031600000000000e+09 -6.589440000000000452e+01 1.994750559999999950e+01 -2.019939429149648219e-02 2.541999634448837211e-02 -3.189999999999999503e+01 1.299999999999998934e+01 -6.139332075513618925e+00 -6.804789500065969721e-01 9.748206303770861475e-03 3.315350800028542722e+02
